Code,Name,Longitude,Latitude,Logger,Date,CHL_QA_AVG,NTU_QA_AVG
WHI1,Double Cone Island,148.7217,-20.1049,828,27/10/2020,0.332,1.374
WHI1,Double Cone Island,148.7217,-20.1049,828,28/10/2020,0.286,1.37
WHI1,Double Cone Island,148.7217,-20.1049,828,29/10/2020,0.297,1.465
WHI1,Double Cone Island,148.7217,-20.1049,828,30/10/2020,0.334,1.452
WHI1,Double Cone Island,148.7217,-20.1049,828,31/10/2020,0.373,1.564
WHI1,Double Cone Island,148.7217,-20.1049,828,1/11/2020,0.366,1.459
WHI1,Double Cone Island,148.7217,-20.1049,828,2/11/2020,0.338,1.242
WHI1,Double Cone Island,148.7217,-20.1049,828,3/11/2020,0.35,1.772
WHI1,Double Cone Island,148.7217,-20.1049,828,4/11/2020,0.247,1.133
WHI1,Double Cone Island,148.7217,-20.1049,828,5/11/2020,0.247,0.973
WHI1,Double Cone Island,148.7217,-20.1049,828,6/11/2020,0.302,1.052
WHI1,Double Cone Island,148.7217,-20.1049,828,7/11/2020,0.287,0.876
WHI1,Double Cone Island,148.7217,-20.1049,828,8/11/2020,0.323,1.618
WHI1,Double Cone Island,148.7217,-20.1049,828,9/11/2020,0.286,1.32
WHI1,Double Cone Island,148.7217,-20.1049,828,10/11/2020,0.316,0.945
WHI1,Double Cone Island,148.7217,-20.1049,828,11/11/2020,0.294,1.004
WHI1,Double Cone Island,148.7217,-20.1049,828,12/11/2020,0.268,1.156
WHI1,Double Cone Island,148.7217,-20.1049,828,13/11/2020,0.262,1.423
WHI1,Double Cone Island,148.7217,-20.1049,828,14/11/2020,0.343,1.919
WHI1,Double Cone Island,148.7217,-20.1049,828,15/11/2020,0.424,2.412
WHI1,Double Cone Island,148.7217,-20.1049,828,16/11/2020,0.407,1.971
WHI1,Double Cone Island,148.7217,-20.1049,828,17/11/2020,0.383,1.847
WHI1,Double Cone Island,148.7217,-20.1049,828,18/11/2020,0.373,2.221
WHI1,Double Cone Island,148.7217,-20.1049,828,19/11/2020,0.348,1.572
WHI1,Double Cone Island,148.7217,-20.1049,828,20/11/2020,0.305,1.363
WHI1,Double Cone Island,148.7217,-20.1049,828,21/11/2020,0.229,1.08
WHI1,Double Cone Island,148.7217,-20.1049,828,22/11/2020,0.175,0.968
WHI1,Double Cone Island,148.7217,-20.1049,828,23/11/2020,0.148,0.851
WHI1,Double Cone Island,148.7217,-20.1049,828,24/11/2020,0.172,0.773
WHI1,Double Cone Island,148.7217,-20.1049,828,25/11/2020,0.215,2.286
WHI1,Double Cone Island,148.7217,-20.1049,828,26/11/2020,0.259,1.083
WHI1,Double Cone Island,148.7217,-20.1049,828,27/11/2020,0.215,1.14
WHI1,Double Cone Island,148.7217,-20.1049,828,28/11/2020,0.2,1.161
WHI1,Double Cone Island,148.7217,-20.1049,828,29/11/2020,0.207,1.095
WHI1,Double Cone Island,148.7217,-20.1049,828,30/11/2020,0.24,1.214
WHI1,Double Cone Island,148.7217,-20.1049,828,1/12/2020,0.252,1.428
WHI1,Double Cone Island,148.7217,-20.1049,828,2/12/2020,0.297,1.204
WHI1,Double Cone Island,148.7217,-20.1049,828,3/12/2020,0.221,1.051
WHI1,Double Cone Island,148.7217,-20.1049,828,4/12/2020,0.197,0.824
WHI1,Double Cone Island,148.7217,-20.1049,828,5/12/2020,0.264,0.838
WHI1,Double Cone Island,148.7217,-20.1049,828,6/12/2020,0.341,0.918
WHI1,Double Cone Island,148.7217,-20.1049,828,7/12/2020,0.346,1.245
WHI1,Double Cone Island,148.7217,-20.1049,828,8/12/2020,0.349,1.105
WHI1,Double Cone Island,148.7217,-20.1049,828,9/12/2020,0.356,1.205
WHI1,Double Cone Island,148.7217,-20.1049,828,10/12/2020,0.34,1.029
WHI1,Double Cone Island,148.7217,-20.1049,828,11/12/2020,0.365,1.38
WHI1,Double Cone Island,148.7217,-20.1049,828,12/12/2020,0.423,1.856
WHI1,Double Cone Island,148.7217,-20.1049,828,13/12/2020,0.48,1.58
WHI1,Double Cone Island,148.7217,-20.1049,828,14/12/2020,0.569,1.714
WHI1,Double Cone Island,148.7217,-20.1049,828,15/12/2020,0.525,1.81
WHI1,Double Cone Island,148.7217,-20.1049,828,16/12/2020,0.553,1.625
WHI1,Double Cone Island,148.7217,-20.1049,828,17/12/2020,0.544,1.347
WHI1,Double Cone Island,148.7217,-20.1049,828,18/12/2020,0.516,1.208
WHI1,Double Cone Island,148.7217,-20.1049,828,19/12/2020,0.423,1.015
WHI1,Double Cone Island,148.7217,-20.1049,828,20/12/2020,0.367,0.865
WHI1,Double Cone Island,148.7217,-20.1049,828,21/12/2020,0.435,1.036
WHI1,Double Cone Island,148.7217,-20.1049,828,22/12/2020,0.555,0.947
WHI1,Double Cone Island,148.7217,-20.1049,828,23/12/2020,0.408,0.809
